TransactionID,Date,CustomerID,ProductCategory,SalesAmount,Discount,Quantity,Region
TX0001,2026-03-04,C005,Clothing,419.09,0.01,1,North
TX0002,2026-03-24,C005,Books,365.28,0.16,2,East
TX0003,2026-03-18,C005,Home,157.54,0.22,1,East
TX0004,2026-03-09,C002,Electronics,100.72,0.13,3,West
TX0005,2026-03-25,C005,Electronics,493.58,0.29,5,East
TX0006,2026-01-13,C004,Books,211.02,0.16,5,South
TX0007,2026-02-02,C003,Electronics,196.09,0.29,2,West
TX0008,2026-01-23,C002,Books,28.94,0.12,1,West
TX0009,2026-01-11,C001,Books,36.83,0.28,3,South
TX0010,2026-03-20,C001,Clothing,348.67,0.17,2,West
TX0011,2026-02-10,C005,Clothing,33.16,0.28,4,South
TX0012,2026-01-24,C002,Toys,269.92,0.08,5,West
TX0013,2026-03-26,C004,Books,408.28,0.19,3,West
TX0014,2026-01-17,C004,Toys,108.97,0.21,1,North
TX0015,2026-03-06,C002,Books,340.77,0.14,1,East
TX0016,2026-01-04,C003,Books,75.94,0.16,2,East
TX0017,2026-01-26,C004,Books,183.08,0.16,2,East
TX0018,2026-01-18,C004,Electronics,320.19,0.05,4,South
TX0019,2026-03-22,C005,Books,22.27,0.29,1,East
TX0020,2026-03-17,C003,Clothing,361.51,0.28,2,North
TX0021,2026-02-15,C001,Electronics,80.43,0.26,3,North
TX0022,2026-03-06,C001,Clothing,176.61,0.08,1,West
TX0023,2026-02-03,C001,Books,,0.27,4,East
TX0024,2026-03-15,C003,Electronics,183.36,0.09,3,West
TX0025,2026-01-28,C003,Electronics,144.67,0.25,3,South
TX0026,2026-01-14,C005,Toys,468.87,0.29,1,South
TX0027,2026-02-11,C003,Home,416.82,0.26,5,East
TX0028,2026-02-06,C001,Clothing,234.66,0.24,2,East
TX0029,2026-02-12,C002,Home,33.97,0.3,2,North
TX0030,2026-03-21,C001,Electronics,80.65,0.09,1,North
TX0031,2026-02-23,C004,Books,266.26,0.21,1,West
TX0032,2026-02-12,C004,Home,70.53,0.09,1,West
TX0033,2026-02-01,C003,Clothing,165.04,0.18,1,West
TX0034,2026-02-22,C002,Clothing,206.65,0.22,2,North
TX0035,2026-03-15,C003,Toys,430.41,0.15,1,West
TX0036,2026-03-11,C005,Books,62.55,0.16,1,North
TX0037,2026-03-27,C004,Books,417.83,0.09,4,West
TX0038,2026-02-22,C005,Home,378.11,0.22,1,East
TX0039,2026-01-18,C002,Books,107.25,0.13,1,West
TX0040,2026-02-25,C002,Clothing,162.07,0.13,5,East
TX0041,2026-03-04,C005,Home,220.62,0.12,2,East
TX0042,2026-02-22,C002,Home,79.89,0.14,3,North
TX0043,2026-02-26,C005,Electronics,154.73,0.18,2,South
TX0044,2026-03-13,C005,Clothing,61.0,0.01,3,North
TX0045,2026-02-10,C002,Books,417.98,0.1,4,East
TX0046,2026-02-15,C005,Books,279.93,0.0,5,West
TX0047,2026-01-25,C005,Clothing,95.51,0.25,4,South
TX0048,2026-03-21,C003,Electronics,441.94,0.08,5,East
TX0049,2026-02-20,C003,Electronics,410.3,0.26,5,South
TX0050,2026-03-14,C001,Toys,64.92,0.04,1,West
TX0051,2026-01-16,C004,Electronics,436.37,0.12,3,East
TX0052,2026-01-26,C001,Clothing,240.17,0.28,1,North
TX0053,2026-01-22,C001,Clothing,318.66,0.2,3,South
TX0054,2026-03-03,C003,Toys,242.31,0.2,4,South
TX0055,2026-01-19,C005,Home,206.49,0.24,5,North
TX0056,2026-01-10,C005,Electronics,371.43,0.12,5,North
TX0057,2026-02-02,C004,Books,69.8,0.29,2,East
TX0058,2026-03-03,C005,Electronics,289.34,0.11,3,East
TX0059,2026-02-06,C001,Books,452.63,0.19,4,North
TX0060,2026-03-01,C005,Electronics,238.09,0.06,5,East
TX0061,2026-01-17,C003,Electronics,178.23,0.05,1,West
TX0062,2026-01-16,C001,Toys,343.77,0.18,2,West
TX0063,2026-03-28,C001,Electronics,497.08,0.03,1,North
TX0064,2026-01-23,C004,Electronics,113.58,0.29,5,North
TX0065,2026-03-10,C005,Clothing,223.86,0.05,1,East
TX0066,2026-01-29,C003,Clothing,141.86,0.27,5,North
TX0067,2026-03-29,C002,Clothing,425.14,0.1,3,North
TX0068,2026-02-08,C001,Electronics,221.75,0.16,1,North
TX0069,2026-03-17,C003,Electronics,65.84,0.04,1,West
TX0070,2026-03-09,C003,Books,257.17,0.11,1,South
TX0071,2026-03-01,C004,Electronics,67.66,0.21,1,North
TX0072,2026-03-10,C002,Books,179.91,0.21,2,North
TX0073,2026-03-06,C003,Electronics,453.24,0.03,2,South
TX0074,2026-03-02,C005,Clothing,169.33,0.07,1,South
TX0075,2026-02-06,C004,Toys,185.67,0.06,5,West
TX0076,2026-01-13,C004,Clothing,367.02,0.09,1,South
TX0077,2026-03-27,C005,Toys,473.81,0.03,5,South
TX0078,2026-03-06,C001,Books,126.09,0.16,4,East
TX0079,2026-03-06,C005,Books,472.37,0.15,4,West
TX0080,2026-03-19,C003,Electronics,56.99,0.12,5,South
TX0081,2026-03-07,C001,Books,294.93,0.04,2,South
TX0082,2026-02-25,C001,Toys,69.92,0.15,1,East
