TransactionID,Date,CustomerID,ProductCategory,SalesAmount,Discount,Quantity,Region
TX0082,2026-02-11,C005,Books,93.02,0.2,4,East
TX0143,2026-02-09,C001,Electronics,383.42,0.29,3,West
TX0032,2026-03-10,C002,Electronics,137.08,0.06,2,West
TX0030,29.03.2026,C003,Electronics,283.27,0.0,4,North
TX0119,2026-01-31,C003,Electronics,368.61,0.25,1,East
TX0061,2026-03-14,C002,Electronics,$230.69,0.04,5,South
TX0094,2026-02-02,C003,ELECTRONICS,313.66,0.17,5,West
TX0148,2026-03-20,C005,Toys,111.17,0.24,1,South
TX0004,11.01.2026,C001,Home ,99.13,0.14,3,South
TX0069,2026-02-12,C004,Electronics,118.63,0.15,4,West
TX0061,2026-01-14,C004,Electronics,319.34,0.21,2,South
TX0139,2026-01-14,C004, Clothing ,259.1,0.16,1,West
TX0079,2026-01-11,C001,Electronics,61.01,0.11,3,East
TX0076,2026-02-04,C004,Electronics,147.34,0.07,5,North
TX0016,22.02.2026,C005, Clothing ,$224.64,0.01,4,West
TX0020,2026-03-13,C004,Electronics,46.56,0.29,3,East
TX0031,17.03.2026,C003,Books,166.92,0.22,4,south
TX0091,2026-02-23,C001, Clothing ,37.62,0.24,2,East
TX0118,2026-02-14,C005,Books,$89.13,0.14,1,East
TX0138,2026-03-09,C001,Electronics,483.79,0.21,4,East
TX0019,2026-03-04,C001, Clothing ,191.53,0.09,-4,North
TX0013,2026-02-06,C002,Home ,380.65,0.21,4,West
TX0010,2026-02-03,C001,Home ,386.36,0.14,5,east
TX0025,2026-01-10,C005, Clothing ,310.9,0.27,2,South
TX0070,2026-02-10,C002,Electronics,126.85,0.03,2,South
TX0132,2026-03-27,C003,Books,144.45,0.16,5,North
TX0096,2026-02-06,C001,Books,430.61,0.19,5,North
TX0046,2026-03-21,C004, Clothing ,456.72,0.16,4,North
TX0087,2026-03-25,C005,Home ,202.6,0.05,3,South
TX0085,2026-01-11,C003, Clothing ,89.47,0.06,2,west
TX0127,2026-01-09,C002,Toys,200.4,0.13,5,East
TX0097,2026-01-16,C002,Electronics,40.75,0.23,2,East
TX0123,2026-02-11,C003,HOME ,326.08,0.23,3,South
TX0083,2026-02-16,C004,Home ,449.92,0.28,4,South
TX0110,2026-01-18,C001,Toys,247.92,0.2,1,South
TX0066,2026-02-22,C002,HOME ,98.81,0.22,5,South
TX0052,2026-02-11,C002,ELECTRONICS,68.98,0.03,2,North
TX0027,2026-03-01,C005,Home ,278.89,0.21,1,South
TX0134,2026-02-07,C002, Clothing ,467.0,0.04,1,West
TX0077,20.03.2026,C003, Clothing ,488.92,0.04,4,East
TX0057,23.01.2026,C001, Clothing ,357.92,0.21,1,North
TX0037,05.03.2026,C005, Clothing ,375.32,0.08,2,West
TX0125,2026-01-28,C003, Clothing ,404.82,0.28,2,east
TX0023,2026-01-16,C001,Electronics,300.23,0.11,3,North
TX0056,2026-03-16,C002,Toys,398.63,0.3,3,South
TX0086,2026-03-03,C003,Electronics,430.61,0.1,-2,west
TX0012,11.02.2026,C001, Clothing ,442.73,0.14,2,North
TX0142,2026-03-31,C002,Books,383.55,0.12,5,south
TX0067,2026-02-08,C001,Books,354.62,0.23,1,East
TX0120,2026-02-18,C001,Books,54.08,0.28,2,South
TX0028,16.01.2026,C003,Electronics,470.56,0.05,5,West
TX0080,13.02.2026,C002,HOME ,$131.14,0.29,2,North
TX0145,2026-02-17,C004,Books,124.83,0.21,4,West
TX0042,2026-02-05,C004,Books,380.44,0.01,1,South
TX0005,2026-02-10,C003, Clothing ,40.37,0.05,1,East
TX0033,2026-03-06,C001,Electronics,346.36,,3,East
TX0135,19.03.2026,C002,Home ,405.97,0.24,1,North
TX0144,2026-01-28,C004, Clothing ,86.95,0.26,1,West
TX0068,2026-02-15,C004,Home ,74.33,0.11,2,West
TX0017,2026-03-11,C004,Books,$444.83,0.18,3,West
TX0124,2026-01-07,C003,Books,478.33,0.06,2,North
TX0011,2026-01-14,C002,Books,459.13,0.08,3,West
TX0114,2026-03-24,C005,Home ,432.99,0.07,1,East
TX0147,2026-02-26,C001,Electronics,283.5,0.02,-4,South
TX0102,2026-03-28,C003, Clothing ,$144.02,0.29,4,North
TX0001,24.03.2026,C005,HOME ,43.68,0.27,4,North
TX0111,2026-02-09,C005,Electronics,357.79,0.27,1,South
TX0065,2026-03-09,C004,Electronics,182.24,0.24,3,East
TX0045,2026-02-23,C003,Electronics,434.47,0.24,5,North
TX0098,21.01.2026,C002, Clothing ,450.87,0.09,4,North
TX0029,2026-03-10,C001,Books,64.83,,2,East
TX0041,17.03.2026,C005,Electronics,126.29,0.13,5,North
TX0105,2026-03-08,C004,Electronics,245.22,0.3,3,East
TX0026,2026-03-03,C003,Toys,212.36,0.14,3,West
TX0024,2026-01-22,C002, Clothing ,479.72,0.15,3,North
TX0109,2026-01-13,C001,ELECTRONICS,493.6,0.18,1,South
TX0040,2026-01-22,C002,Electronics,176.33,0.16,1,East
TX0002,2026-03-09,C005,Electronics,403.6,0.18,4,north
TX0099,2026-01-06,C005,Electronics,354.07,0.26,4,West
TX0001,24.03.2026,C005,HOME ,43.68,0.27,4,North
TX0137,28.02.2026,C002,Books,278.41,0.1,4,North
TX0048,2026-02-10,C004, Clothing ,215.87,0.15,2,West
TX0112,22.02.2026,C001,Home ,259.19,0.25,4,north
TX0062,03.01.2026,C001, Clothing ,370.73,0.1,1,West
TX0074,2026-03-26,C004, Clothing ,395.56,0.18,3,West
TX0034,13.01.2026,C002,Toys,294.03,0.06,1,North
TX0149,09.01.2026,C002,Home ,412.9,0.01,1,North
TX0126,02.01.2026,C002,Electronics,88.72,0.22,3,West
TX0063,2026-03-10,C003,Books,386.46,0.18,5,West
TX0106,2026-03-30,C004,Electronics,$109.22,0.17,4,North
TX0095,2026-02-20,C003, Clothing ,58.08,0.22,3,West
TX0054,2026-03-12,C004,Toys,297.34,0.23,3,West
TX0006,2026-03-26,C004, Clothing ,298.57,0.01,3,West
TX0128,2026-03-02,C002, Clothing ,282.98,0.29,5,West
TX0115,2026-02-08,C002, Clothing ,170.03,0.08,3,East
TX0050,2026-03-19,C001,Books,$206.62,0.23,3,South
TX0036,2026-03-07,C005,Electronics,443.02,0.12,5,east
TX0081,17.02.2026,C002,Electronics,219.91,0.03,2,East
TX0078,2026-01-28,C004,Books,$218.28,0.26,3,East
TX0035,2026-03-06,C004,Electronics,207.44,0.11,1,East
TX0047,15.01.2026,C005,Toys,435.9,0.19,1,North
TX0008,2026-01-18,C002,Books,36.86,0.11,4,West
TX0044,25.01.2026,C001,Books,272.85,0.21,5,South
TX0071,2026-01-30,C005,Books,363.41,0.1,2,west
TX0113,2026-01-27,C003,Books,149.67,0.1,3,east
TX0092,04.03.2026,C001,BOOKS,288.71,0.23,2,South
TX0084,28.03.2026,C002,Books,242.75,0.05,2,West
TX0140,2026-02-21,C004,Books,235.45,0.03,4,East
TX0141,2026-02-19,C002,Electronics,$95.67,0.3,3,east
TX0090,12.01.2026,C005,Books,250.08,0.29,4,East
TX0009,17.03.2026,C001,Books,416.92,0.16,1,South
TX0014,2026-03-21,C005,Home ,$314.3,,5,East
TX0060,2026-01-22,C005,Home ,492.28,0.21,1,West
TX0133,17.02.2026,C003,Electronics,368.44,0.24,3,West
TX0004,11.01.2026,C001,Home ,99.13,0.14,3,South
TX0018,18.01.2026,C001,Books,267.08,0.27,2,East
TX0039,2026-01-29,C004, Clothing ,$390.13,0.03,2,West
TX0073,28.02.2026,C002,Toys,391.06,0.23,1,North
TX0136,2026-02-10,C003,Electronics,393.87,0.17,4,South
TX0007,2026-01-04,C003,Toys,10.37,0.29,2,South
TX0129,2026-01-14,C004, Clothing ,$215.38,0.16,1,North
TX0101,2026-03-10,C005,Toys,32.48,0.1,3,East
TX0003,2026-02-02,C002,Books,152.31,0.09,2,South
TX0121,2026-03-19,C005,Electronics,46.51,0.13,4,East
TX0064,24.02.2026,C003,Electronics,198.75,0.17,2,North
TX0116,2026-02-21,C004,Toys,101.22,0.22,3,West
TX0055,25.01.2026,C004, Clothing ,219.26,0.29,2,North
TX0108,2026-03-13,C005,Home ,237.77,0.12,3,West
TX0051,13.03.2026,C002,Books,$157.37,0.1,3,South
TX0003,2026-02-02,C002,Books,152.31,0.09,2,South
TX0059,09.02.2026,C003,TOYS,$405.64,0.11,2,South
TX0049,13.02.2026,C005,Toys,442.01,0.12,1,north
TX0089,2026-01-05,C001,Books,18.28,0.23,2,South
TX0022,20.02.2026,C005,Toys,338.38,0.3,4,East
TX0058,2026-02-09,C002, Clothing ,378.25,0.27,3,West
TX0150,2026-02-12,C004, Clothing ,$280.95,0.23,5,North
TX0130,2026-02-11,C005,Electronics,335.89,0.26,1,West
TX0038,2026-01-13,C002, Clothing ,310.4,0.03,3,West
TX0146,2026-02-21,C004, Clothing ,204.19,0.15,4,East
TX0002,2026-03-09,C005,Electronics,403.6,0.18,4,north
TX0053,2026-02-13,C004,Books,405.45,0.09,4,West
TX0131,2026-02-17,C005,Electronics,313.79,0.23,5,West
TX0104,2026-03-19,C001, Clothing ,235.79,0.2,1,West
TX0100,2026-02-26,C004,Electronics,347.98,0.26,4,North
TX0117,2026-03-31,C002,Toys,397.82,0.04,3,North
TX0088,25.01.2026,C003,Books,211.65,0.23,2,West
TX0075,25.01.2026,C004,Books,484.62,0.1,3,East
TX0122,2026-03-14,C002,Electronics,49.3,0.13,2,North
TX0005,2026-02-10,C003, Clothing ,40.37,0.05,1,East
TX0021,15.02.2026,C002,Electronics,27.3,0.23,4,South
TX0072,2026-03-03,C002, Clothing ,$290.73,0.03,4,North
TX0107,2026-01-11,C001,Home ,228.32,0.27,5,East
TX0015,2026-02-12,C004,Electronics,181.84,0.29,4,west
TX0093,2026-02-14,C003,Home ,79.67,0.25,1,West
